Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
437,Tony Snell\snellto01,SG,26,MIL,55,43,28.9,2.6,5.9,.439,1.5,3.6,.407,1.1,2.3,.488,.563,0.6,0.8,.786,0.2,1.9,2.1,1.2,0.7,0.4,0.5,1.6,7.3
438,Marreese Speights\speigma01,C,30,ORL,47,3,13.3,2.7,6.9,.393,1.7,4.6,.369,1.0,2.3,.443,.517,0.8,1.1,.760,0.4,2.2,2.7,0.8,0.1,0.4,0.8,2.1,7.9
439,Nik Stauskas\stausni01,SG,24,TOT,33,0,12.7,1.4,3.5,.385,1.0,2.4,.405,0.4,1.2,.342,.521,0.5,0.6,.800,0.1,1.4,1.5,0.9,0.2,0.1,0.6,0.5,4.2
440,Lance Stephenson\stephla01,SG,27,IND,61,6,23.4,3.7,8.6,.437,0.9,2.8,.312,2.9,5.8,.497,.488,1.0,1.6,.667,0.7,4.8,5.5,3.1,0.6,0.2,1.7,2.1,9.4
441,Julyan Stone\stoneju01,SG,29,CHO,12,0,4.0,0.2,0.3,.500,0.2,0.3,.500,0.0,0.0,"",.750,0.0,0.0,"",0.0,1.0,1.0,0.9,0.2,0.1,0.3,0.8,0.5
442,Caleb Swanigan\swanica01,PF,20,POR,18,3,7.9,0.9,2.5,.356,0.1,0.3,.167,0.8,2.2,.385,.367,0.4,0.7,.615,0.7,1.3,2.1,0.5,0.3,0.2,0.7,1.4,2.3
443,Jayson Tatum\tatumja01,SF,19,BOS,63,63,30.5,4.7,9.9,.473,1.3,2.9,.432,3.4,7.0,.490,.537,2.6,3.2,.829,0.7,4.3,5.0,1.4,0.9,0.8,1.3,2.1,13.3
444,Isaiah Taylor\taylois01,PG,23,ATL,47,0,14.7,1.9,4.4,.444,0.3,1.0,.289,1.7,3.4,.488,.476,1.1,1.7,.667,0.3,1.0,1.3,2.4,0.5,0.2,0.9,1.4,5.3
445,Jeff Teague\teaguje01,PG,29,MIN,53,53,33.2,4.9,11.0,.444,1.2,3.1,.376,3.7,7.9,.471,.497,2.6,3.1,.825,0.4,2.6,3.0,7.0,1.5,0.3,2.6,2.5,13.5
446,Mirza Teletovic\teletmi01,PF,32,MIL,10,0,15.9,2.5,5.7,.439,2.1,4.5,.467,0.4,1.2,.333,.623,0.0,0.0,"",0.3,2.0,2.3,1.0,0.4,0.1,0.7,1.4,7.1
